Tweet_id: 1113856552862138370 | date: 2019-04-04 | join_date: {join_date} | join_time: {join_time} | time: 14:31:11 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Pela manhã me reuni com vários presidentes e líderes de partidos. Tudo ocorreu em alto nível. Ao contrário do que propalado por alguns, nada se falou sobre cargos. Executivo e Legislativo unidos, por uma causa que representa o futuro de nossos filhos e netos: a Nova Previdência. | hashtag: [] | url: {url} | replies: 862 | retweet: 2024 | likes: 11587 | link: https://twitter.com/jairbolsonaro/status/1113856552862138370 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113844705106845696 | date: 2019-04-04 | join_date: {join_date} | join_time: {join_time} | time: 13:44:06 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Parabéns aos policiais da ROTA (PM-SP) pela rápida e eficiente ação contra 25 bandidos fortemente armados e equipados que tentaram assaltar dois bancos na cidade de Guararema e ainda fizeram uma família refém. 11 bandidos foram mortos e nenhum inocente saiu ferido. Bom trabalho! | hashtag: [] | url: {url} | replies: 1764 | retweet: 4198 | likes: 26094 | link: https://twitter.com/jairbolsonaro/status/1113844705106845696 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113812737619050497 | date: 2019-04-04 | join_date: {join_date} | join_time: {join_time} | time: 11:37:04 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Seja bem vindo, Ministro! 👍🏻 | hashtag: [] | url: {url} | replies: 1051 | retweet: 2805 | likes: 30966 | link: https://twitter.com/jairbolsonaro/status/1113812737619050497 | is_retweet: None | user_rt: {user_rt} | mentions: ['SF_Moro'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113740249174347776 | date: 2019-04-04 | join_date: {join_date} | join_time: {join_time} | time: 06:49:02 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Pronto para inauguração o Centro de Testes de Tecnologias de Dessalinização de água - CTTD. Localizado em Campina Grande/PB. Nossos parabéns ao Astronauta @Astro_Pontes , Ministro de Ciência e Tecnologia. Este é o primeiro passo para evoluirmos para outros no Nordeste. pic.twitter.com/CBoVI9jTqP | hashtag: [] | url: {url} | replies: 1453 | retweet: 4163 | likes: 21780 | link: https://twitter.com/jairbolsonaro/status/1113740249174347776 | is_retweet: None | user_rt: {user_rt} | mentions: ['Astro_Pontes'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113610674507264001 | date: 2019-04-03 | join_date: {join_date} | join_time: {join_time} | time: 22:14:09 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Para saber mais detalhes sobre a Nova Previdência, assista: http://youtu.be/0HHEvyReOWo  | hashtag: [] | url: {url} | replies: 946 | retweet: 3258 | likes: 17026 | link: https://twitter.com/jairbolsonaro/status/1113610674507264001 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113592562105946112 | date: 2019-04-03 | join_date: {join_date} | join_time: {join_time} | time: 21:02:11 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Ao ser provocado Paulo Guedes dá choque de realidade na esquerda. pic.twitter.com/CZoFNLg9r4 | hashtag: [] | url: {url} | replies: 6990 | retweet: 15046 | likes: 71586 | link: https://twitter.com/jairbolsonaro/status/1113592562105946112 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113543171638800385 | date: 2019-04-03 | join_date: {join_date} | join_time: {join_time} | time: 17:45:55 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Voltando com dever cumprido e acordos firmados com Israel, em áreas como ciência e tecnologia, defesa, serviços aéreos e segurança. Tudo explicitado em mensagens anteriores. Antes de embarcar, dissemos que temos uma relação próxima tanto com Israel, quanto com países árabes. pic.twitter.com/cr0wV2GX99 | hashtag: [] | url: {url} | replies: 863 | retweet: 3037 | likes: 19421 | link: https://twitter.com/jairbolsonaro/status/1113543171638800385 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113495518389440513 | date: 2019-04-03 | join_date: {join_date} | join_time: {join_time} | time: 14:36:33 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: O Min. Paulo Guedes se reuniu com membros da Frente Parlamentar Mista em Defesa do Novo Pacto Federativo. Cada estado e município é o maior conhecedor de sua necessidade. A população fica mais perto do Governador, Prefeito e Deputados. Todos ganham! Mais Brasil, menos Brasília! | hashtag: [] | url: {url} | replies: 1413 | retweet: 5721 | likes: 39004 | link: https://twitter.com/jairbolsonaro/status/1113495518389440513 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113439403282784257 | date: 2019-04-03 | join_date: {join_date} | join_time: {join_time} | time: 10:53:35 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: É a Floresta Nacional de Canela, e o Núcleo de Gestão Integrada Aparados da Serra, de Cambará do Sul, que contempla os dois parques: Serra Geral e Aparados da Serra. Importantes áreas para o Ecoturismo. Iniciativas que comprovadamente dão certo no que se almeja com os projetos. | hashtag: [] | url: {url} | replies: 312 | retweet: 2094 | likes: 18108 | link: https://twitter.com/jairbolsonaro/status/1113439403282784257 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113438956090040320 | date: 2019-04-03 | join_date: {join_date} | join_time: {join_time} | time: 10:51:48 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Na próxima semana o Ministro do Meio Ambiente, @rsallesmma  irá ao estado do RS dando início as medidas de concessões de dois parques nacionais. Emprego, renda, desenvolvimento,  e muito mais cuidado com o meio ambiente envolvendo moradores das próprias regiões. | hashtag: [] | url: {url} | replies: 561 | retweet: 3346 | likes: 25669 | link: https://twitter.com/jairbolsonaro/status/1113438956090040320 | is_retweet: None | user_rt: {user_rt} | mentions: ['rsallesmma'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113384623575326721 | date: 2019-04-03 | join_date: {join_date} | join_time: {join_time} | time: 07:15:54 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Thank you for everything Israel! We will be back! https://twitter.com/israelmfa/status/1113384020895780864 … | hashtag: [] | url: {url} | replies: 722 | retweet: 3181 | likes: 20468 | link: https://twitter.com/jairbolsonaro/status/1113384623575326721 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
