ano,mes,dia,hora,convidado,onde,
2016,5,13,09:00,Reunião Ministerial,Palácio do Planalto,
2016,5,16,15:00,"Eliseu Padilha, ministro-chefe da Casa Civil; Henrique Meirelles, ministro de Estado da Fazenda; Ronaldo Nogueira, ministro de Estado do Trabalho; Antônio Neto, presidente das Centrais Sindicais Brasileiras; José Calixto Ramos, presidente Nacional da NCST; Ricardo Patah, presidente Nacional UGT; Deputado Federal Paulo Pereira da Silva, Presidente Nacional da Central Força Sindical e Presidente Nacional do Partido Solidariedade",Palácio do Planalto,
2016,5,16,17:00,"Mendonça Filho, ministro da Educação e Cultura e Geddel Vieira Lima, ministro da Secretaria de Governo",Palácio do Planalto,
2016,5,16,18:00,"Eliseu Padilha, ministro chefe da Casa Civil da PR; Raul Jungmann, ministro da Defesa; Alexandre de Moraes, ministro da Justiça e Cidadania; Henrique Eduardo Alves, ministro do Turismo; Leonardo Picciani, ministro do Esporte; General Sérgio Etchegoyen, ministro GSIPR; Almirante Leal Ferreira, Comandante da Marinha; General Villas Boas, Comandante do Exército; Tenente-Brigadeiro do Ar Nivaldo Luiz Rossato, Comandante da Aeronáutica; Almirante Ademir Sobrinho, Chefe EMCFA; Andrei Rodrigues, secretário Nacional da Secretaria de Segurança para grandes eventos, MJ",Palácio do Planalto,
2016,5,17,10:00,Despachos Internos,,
2016,5,17,14:00,Reunião de Líderes da Câmara dos Deputados,Palácio do Planalto,
2016,5,17,16:00,"Reunião com o Ministro da Fazenda, Henrique Meirelles, e equipe econômica",Palácio do Planalto,
2016,5,17,17:00,Ex-presidente José Sarney,Palácio do Planalto,
2016,5,17,18:00,Embaixador Mauro Vieira,Palácio do Planalto,
2016,5,17,18:15,Senadora Marta Suplicy (PMDB/SP),Palácio do Planalto,
2016,5,17,18:40,Senador Renan Calheiros,,
2016,5,17,19:25,Mendonça Filho,,
2016,5,17,20:00,José Serra,,
2016,5,18,09:00,Café da manhã com líderes do Senado Federal,Palácio do Jaburu,
2016,5,18,17:00,Gilberto Kassab,,
2016,5,18,17:30,Fernando Coelho Filho,,
2016,5,19,10:00,Reunião com a Bancada Feminina da Câmara dos Deputados,Palácio do Planalto,
2016,5,19,15:30,"General do Exército Sérgio Etchegoyen, ministro do Gabinete de Segurança Institucional; e Wilson Roberto Trezza, diretor-geral da Abin (Agência Brasileira de Inteligência)",Palácio do Planalto,
2016,5,20,10:00,Fábio Medina Osório,,
2016,5,20,10:30,Fabiano Augusto Martins,,
2016,5,20,12:00,Sarney Filho,,
2016,5,20,14:30,"Eliseu Padilha, ministro-chefe da Casa Civil;  Henrique Meirelles, ministro da Fazenda;  Romero Jucá, ministro do Planejamento, Desenvolvimento e Gestão",Palácio do Planalto,
2016,5,23,10:00,Despachos internos,Palácio do Planalto,
2016,5,23,16:00,Renan Calheiros,,
2016,5,24,10:00,Apresentação das medidas econômicas,Palácio do Planalto,
2016,5,24,11:30,"Eduardo Paes, prefeito do Rio de Janeiro, e Moreira Franco",Palácio do Planalto,
2016,5,24,15:00,"Solenidade de posse do senhor Marcelo Calero, Ministro da Cultura",Palácio do Planalto,
2016,5,24,17:00,"Senador Antônio Carlos Valadares (PSB/SE), senador Eduardo Amorim (PSC/SE), senador Ricardo Franco (DEM/SE)",Palácio do Planalto,
2016,5,24,17:30,Senador Romário (PSB/RJ),Palácio do Planalto,
2016,5,24,18:30,"Marconi Perillo, governador do estado de Goiás",Palácio do Planalto,
2016,5,25,10:00,Cerimônia de apresentação de Credenciais dos Embaixadores  Residentes em Brasília,Palácio do Planalto,
2016,5,25,16:00,"Eliseu Padilha, ministro-chefe da Casa Civil; José Serra, ministro das Relações Exteriores; Alexandre Moraes, ministro da Justiça e Cidadania; Henrique Meirelles, ministro da Fazenda; e Raul Jungmann, ministro da Defesa.",Palácio do Planalto,
2016,5,30,14:30,Bruno Araújo,,
