ano,mes,dia,hora,quem,onde,,
2017,1,2,13:45,Eliseu Padilha - Ministro-Chefe da Casa Civil da Presidência da República,"
Palácio do Planalto",,
2017,1,2,14:00,Ricardo Barros - Ministro de Estado da Saúde,"
Palácio do Planalto",,
2017,1,2,15:00,Wellington Moreira Franco - secretário-executivo da Secretaria de Parcerias de Investimentos,"
Palácio do Planalto",,
2017,1,2,17:00,Senador Hélio José (PMDB/DF),"
Palácio do Planalto",,
2017,1,2,17:45,Deputado Laerte Bessa (PR/DF),"
Palácio do Planalto",,
2017,1,3,10:00,"Dyogo Oliveira - Ministro de Estado do Planejamento, Desenvolvimento e Gestão","
Palácio do Planalto",,
2017,1,3,15:00,"Deputado Aelton Freitas (PR/MG), líder do PR na Câmara dos Deputados","
Palácio do Planalto",,
2017,1,3,15:30,Wellington Moreira Franco - secretário-executivo da Secretaria de Parcerias de Investimentos da Presidência da República,"
Palácio do Planalto",,
2017,1,3,16:00,"Ricardo Barros, Ministro de Estado da Saúde; Eliseu Padilha, Ministro-Chefe da Casa Civil da Presidência da República; Wellington Moreira Franco, secretário-executivo da Secretaria de Parcerias de Investimentos da Presidência da República e deputado Hugo Leal (PSB/RJ)","
Palácio do Planalto",,
2017,1,3,16:30,Ex-deputado Elton Rohnelt,"
Palácio do Planalto",,
2017,1,4,10:30,Senador Magno Malta (PR/ES),"
Palácio do Planalto",,
2017,1,4,11:00,Deputado Rodrigo Maia (DEM/RJ) - Presidente da Câmara dos Deputados,"
Palácio do Planalto",,
2017,1,4,11:30,"Alexandre de Moraes, ministro de Estado da Justiça e Cidadania","
Palácio do Planalto",,
2017,1,4,14:30,Deputado Ronaldo Fonseca (PROS/DF) ,"
Palácio do Planalto",,
2017,1,4,15:00,Eliseu Padilha - Ministro-Chefe da Casa Civil da Presidência da República,"
Palácio do Planalto",,
2017,1,4,16:00,Deputado Lúcio Vieira Lima (PMDB/BA),"
Palácio do Planalto",,
2017,1,4,17:00,"Deputado André Moura (PSC/SE), Líder do Governo na Câmara dos Deputados","
Palácio do Planalto",,
2017,1,4,17:30,"Deputado Jovair Arantes (PTB/GO), líder do PTB na Câmara dos Deputados","
Palácio do Planalto",,
2017,1,5,10:00,Reunião com o Núcleo Institucional,"
Palácio do Planalto",,
2017,1,6,11:20,Roberto Freire - Ministro de Estado da Cultura e senador Cristovam Buarque (PPS/DF),"
Palácio do Planalto",,
2017,1,6,12:15,General de Exército Sérgio Westphalen Etchegoyen - Ministro de Estado Chefe do Gabinete de Segurança Institucional da Presidência da República,"
Palácio do Planalto",,
2017,1,6,13:00,Alexandre de Moraes - Ministro de Estado da Justiça e Cidadania,"
Palácio do Planalto",,
2017,1,9,07:30,Embarque para Porto Alegre/RS,"
Base Aérea de Brasília",,
2017,1,9,10:30,"Cerimônia de anúncio de renovação da frota de ambulâncias do SAMU: 340 veículos para o país, 61 para o Rio Grande do Sul","
Parque de Exposições Assis Brasil, BR-116, Km 13 – Esteio/RS",RS,
2017,1,9,12:40,Embarque para Brasília/DF,"
Base Aérea de Canoas/RS",RS,
2017,1,9,17:00,Decolagem para Lisboa/Portugal,"
Base Aérea de Brasília",,
2017,1,10,11:30,"Encontro com o Presidente da República Portuguesa, Marcelo Rebelo de Sousa ","
Palácio Nacional de Belém",POR,
2017,1,10,13:00,"Exéquias do ex-Presidente da República Portuguesa, Mário Soares","
Mosteiro dos Jerônimos",,
2017,1,10,15:10,Partida de Lisboa/Portugal para o Brasil,"
Mosteiro dos Jerônimos",,
2017,1,10,23:45,Chegada a Brasília/DF,"
Base Aérea de Brasília",,
2017,1,11,10:00,Reunião com o Núcleo de Infraestrutura,"
Palácio do Planalto",,
2017,1,11,11:30,"Deputado Rodrigo Maia, presidente da Câmara dos Deputados; Alexandre de Moraes, ministro da Justiça; e membros da Comissão de Segurança Pública e Combate ao Crime Organizado","
Palácio do Planalto",,
