ano,mes,dia,hora,quem,,onde,
2018,1,2,12:00,Eliseu Padilha; Wellington Moreira Franco; Carlos Marun,,"
Palácio do Jaburu",
2018,1,3,10:10,Deputado Ronaldo Nogueira (PTB/RS),,"
Palácio do Planalto",
2018,1,3,10:40,Eliseu Padilha; Wellington Moreira Franco; Carlos Marun,,"
Palácio do Planalto",
2018,1,3,11:30,"Foto com Ministro Ives Gandra, Presidente do Tribunal Superior do Trabalho; Fabiano Dourado Guedes, Sacerdote da Prelazia do Opus Dei; Helder de Godoy, Professor Doutor Geólogo; João Carlos Nara Jr., Diretor do Escritório Técnico do Museu Nacional; José Maria Rodrigues Ramos, Professor Universitário; Leonardo Barbosa Soares, Professor Instituto COPPEAD/UFRS; Liliane Elias Esteves, Chefe do Cerimonial do TST; Lisandro Carmona de Souza, Marketing Manager Aust Brazil; Lucas de Sousa Tavares Cunha, Advogado; Luis Augusto Molina Alexandroni, Executivo Busines School; Luis Fernando Stucchi da Silva, Professor Universidade de São Paulo; Marcelo Henrique Valenga, Empresário Therapin Equipamentos Médicos; Miguel Koya Matsubara, Tradutor, Intérprete Japão; Ricardo Marcelo Slussarek, Professor Engenheiro; Veneziano de Castro Araújo, Professor Universidade Federal de São Paulo; Washington de Jesus Melo, Professor CEAP São Paulo",,"
Palácio do Planalto",
2018,1,3,12:00,Senador Romero Jucá (PMDB/RR),,"
Palácio do Planalto",
2018,1,3,12:45,"Marcos Pereira, ministro de Estado da Indústria, Comércio Exterior e Serviços; e Deputado Márcio Marinho (PRB/BA)",,"
Palácio do Planalto",
2018,1,3,15:00,"Roberto Jefferson, presidente nacional do Partido Trabalhista Brasileiro-PTB",,"
Palácio do Jaburu",
2018,1,3,18:00,Rodrigo Maia; Eliseu Padilha; Wellington Moreira Franco; Carlos Marun; Senador Romero Jucá (PMDB/RR),,"
Palácio da Alvorada",
2018,1,4,10:30,Eliseu Padilha; Wellington Moreira Franco; Gilberto Occhi; Deputado Fernando Monteiro (PP/PE),,"
Palácio do Planalto",
2018,1,4,11:00,"Sérgio Sá Leitão, ministro de Estado da Cultura ",,"
Palácio do Planalto",
